away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
TOR,LAA,20220529,20:07,D,Angel Stadium,outdoor,1,1,13,12,11,10,TORLAA20220529D
TEX,OAK,20220529,20:07,D,Oakland Coliseum,outdoor,5,2,7,14,5,6,TEXOAK20220529D
CHC,CWS,20220529,18:10,D,Guaranteed Rate Field,outdoor,1,2,5,10,4,5,CHCCWS20220529D
LAD,ARI,20220529,20:10,D,Chase Field,retractable,1,0,4,8,3,1,LADARI20220529D
CLE,DET,20220529,17:40,D,Comerica Park,outdoor,1,0,7,4,1,2,CLEDET20220529D
HOU,SEA,20220529,20:10,D,T-Mobile Park,retractable,1,0,6,5,2,1,HOUSEA20220529D
MIL,STL,20220529,18:15,D,Busch Stadium,outdoor,0,0,13,4,8,0,MILSTL20220529D
SF,CIN,20220529,15:35,D,Great American Ball Park,outdoor,1,0,6,8,6,4,SFCIN20220529D
MIA,ATL,20220529,17:35,D,Truist Park,outdoor,0,0,7,11,3,6,MIAATL20220529D
PIT,SD,20220529,20:10,D,PETCO Park,outdoor,0,0,5,8,2,4,PITSD20220529D
KC,MIN,20220529,18:10,D,Target Field,outdoor,0,0,7,11,3,7,KCMIN20220529D
BAL,BOS,20220529,17:35,D,Fenway Park,outdoor,1,1,7,15,2,12,BALBOS20220529D
PHI,NYM,20220529,23:08,N,Citi Field,outdoor,1,0,5,7,4,5,PHINYM20220529N
NYY,TB,20220529,17:40,D,Tropicana Field,indoor,0,1,9,2,2,4,NYYTB20220529D
KC,CLE,20220530,22:10,N,Progressive Field,outdoor,1,1,9,8,3,7,KCCLE20220530N
PIT,LAD,20220531,02:10,N,Dodger Stadium,outdoor,1,1,9,10,6,5,PITLAD20220531N
MIA,COL,20220530,20:10,D,Coors Field,outdoor,0,1,5,10,1,7,MIACOL20220530D
MIL,CHC,20220530,23:40,N,Wrigley Field,outdoor,0,1,3,6,3,1,MILCHC20220530N
MIN,DET,20220530,17:10,D,Comerica Park,outdoor,2,1,10,13,5,7,MINDET20220530D
ATL,ARI,20220531,00:10,N,Chase Field,retractable,1,0,8,7,2,6,ATLARI20220531N
BAL,BOS,20220530,23:10,N,Fenway Park,outdoor,0,0,14,4,10,0,BALBOS20220530N
WSH,NYM,20220530,23:10,N,Citi Field,outdoor,0,0,10,16,5,13,WSHNYM20220530N
SF,PHI,20220530,20:05,D,Citizens Bank Park,outdoor,0,0,6,5,5,4,SFPHI20220530D
MIL,CHC,20220530,17:05,D,Wrigley Field,outdoor,1,2,7,12,7,6,MILCHC20220530D
SD,STL,20220530,18:15,D,Busch Stadium,outdoor,0,0,11,10,3,6,SDSTL20220530D
HOU,OAK,20220530,20:07,D,Oakland Coliseum,outdoor,0,1,6,2,5,1,HOUOAK20220530D
TB,TEX,20220531,00:05,N,Globe Life Field,retractable,2,1,10,13,5,9,TBTEX20220531N
CWS,TOR,20220531,23:07,N,Rogers Centre,retractable,0,0,13,12,5,6,CWSTOR20220531N
KC,CLE,20220531,22:10,N,Progressive Field,outdoor,0,0,7,12,3,8,KCCLE20220531N
WSH,NYM,20220531,23:10,N,Citi Field,outdoor,0,2,7,17,0,10,WSHNYM20220531N
SD,STL,20220531,23:45,N,Busch Stadium,outdoor,0,0,5,7,2,3,SDSTL20220531N
MIN,DET,20220531,23:10,N,Comerica Park,outdoor,1,0,3,5,0,4,MINDET20220531N
TB,TEX,20220601,00:05,N,Globe Life Field,retractable,0,0,3,7,0,3,TBTEX20220601N
ATL,ARI,20220601,01:40,N,Chase Field,retractable,0,0,14,12,7,8,ATLARI20220601N
SF,PHI,20220531,22:45,N,Citizens Bank Park,outdoor,0,2,12,9,7,4,SFPHI20220531N
MIA,COL,20220601,22:55,N,Coors Field,outdoor,0,3,13,17,12,13,MIACOL20220601N
MIN,DET,20220531,17:10,D,Comerica Park,outdoor,0,2,9,8,8,2,MINDET20220531D
LAA,NYY,20220531,23:05,N,Yankee Stadium,outdoor,0,0,7,13,1,9,LAANYY20220531N
HOU,OAK,20220601,01:40,N,Oakland Coliseum,outdoor,0,1,7,8,3,1,HOUOAK20220601N
SEA,BAL,20220531,23:05,N,Oriole Park at Camden Yards,outdoor,0,1,13,5,10,0,SEABAL20220531N
PIT,LAD,20220601,02:10,N,Dodger Stadium,outdoor,0,0,11,4,5,3,PITLAD20220601N
CIN,BOS,20220531,23:10,N,Fenway Park,outdoor,0,2,8,4,2,1,CINBOS20220531N
MIL,CHC,20220601,00:05,N,Wrigley Field,outdoor,2,0,7,12,7,8,MILCHC20220601N
MIA,COL,20220601,19:10,D,Coors Field,outdoor,0,1,21,3,14,1,MIACOL20220601D
PIT,LAD,20220602,00:10,N,Dodger Stadium,outdoor,0,0,9,12,8,4,PITLAD20220602N
MIA,COL,20220601,22:55,N,Coors Field,outdoor,0,3,13,17,12,13,MIACOL20220601N
KC,CLE,20220601,17:10,D,Progressive Field,outdoor,1,0,7,8,0,4,KCCLE20220601D
CIN,BOS,20220601,23:10,N,Fenway Park,outdoor,0,1,7,8,1,7,CINBOS20220601N
LAA,NYY,20220602,17:05,D,Yankee Stadium,outdoor,0,0,7,13,1,6,LAANYY20220602D
MIL,CHC,20220602,00:05,N,Wrigley Field,outdoor,1,0,8,7,3,4,MILCHC20220602N
WSH,NYM,20220601,17:10,D,Citi Field,outdoor,1,0,6,8,0,5,WSHNYM20220601D
SEA,BAL,20220601,23:05,N,Oriole Park at Camden Yards,outdoor,0,0,8,10,2,9,SEABAL20220601N
HOU,OAK,20220601,19:37,D,Oakland Coliseum,outdoor,0,0,11,4,5,4,HOUOAK20220601D
ATL,ARI,20220601,19:40,D,Chase Field,retractable,1,0,12,3,6,0,ATLARI20220601D
CWS,TOR,20220601,23:07,N,Rogers Centre,retractable,0,0,9,10,3,7,CWSTOR20220601N
TB,TEX,20220602,00:05,N,Globe Life Field,retractable,0,0,6,10,4,3,TBTEX20220602N
SF,PHI,20220601,22:05,N,Citizens Bank Park,outdoor,1,0,5,10,5,6,SFPHI20220601N
SD,STL,20220601,17:15,D,Busch Stadium,outdoor,0,0,6,8,2,5,SDSTL20220601D
MIN,DET,20220601,23:10,N,Comerica Park,outdoor,0,1,2,9,0,5,MINDET20220601N
LAA,NYY,20220602,23:05,N,Yankee Stadium,outdoor,0,0,2,7,1,2,LAANYY20220602N
WSH,CIN,20220602,22:40,N,Great American Ball Park,outdoor,1,0,5,10,1,8,WSHCIN20220602N
TB,TEX,20220602,18:05,D,Globe Life Field,retractable,0,0,9,6,3,1,TBTEX20220602D
SD,MIL,20220602,23:40,N,American Family Field,retractable,0,0,9,9,4,5,SDMIL20220602N
CWS,TOR,20220602,19:07,D,Rogers Centre,retractable,1,0,7,12,3,8,CWSTOR20220602D
SEA,BAL,20220602,23:05,N,Oriole Park at Camden Yards,outdoor,0,2,12,8,7,6,SEABAL20220602N
SF,MIA,20220602,22:40,N,loanDepot park,retractable,1,0,3,7,0,3,SFMIA20220602N
ATL,COL,20220603,00:40,N,Coors Field,outdoor,0,1,18,13,13,6,ATLCOL20220603N
MIN,DET,20220602,17:10,D,Comerica Park,outdoor,0,1,5,5,2,3,MINDET20220602D
STL,CHC,20220603,00:05,N,Wrigley Field,outdoor,0,0,8,12,5,7,STLCHC20220603N
LAA,NYY,20220602,17:05,D,Yankee Stadium,outdoor,0,0,7,13,1,6,LAANYY20220602D
NYM,LAD,20220603,02:10,N,Dodger Stadium,outdoor,0,0,3,9,0,2,NYMLAD20220603N
