home_away,ab,r,h,rbi,bb,so,pa,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,pitches,strikes_total,wpa_bat,leverage_index_avg,wpa_bat_pos,wpa_bat_neg,re24_bat,po,a,game_id,team
away,40,11,14,10,7,12,47,0.35,0.447,0.75,1.197,184,119,,,,,,27,7,BALTOR20240310D,BAL
home,30,5,5,5,9,10,41,0.167,0.39,0.167,0.557,173,96,,,,,,27,11,OAKAZ20240311D,AZ2
away,36,6,11,6,3,9,40,0.306,0.375,0.444,0.819,157,102,,,,,,27,14,OAKAZ20240311D,OAK
home,36,2,8,2,1,6,37,0.222,0.243,0.389,0.632,53,49,,,,,,27,14,AZSD20240312D,D20
away,30,2,4,2,6,4,36,0.133,0.278,0.2,0.478,63,38,,,,,,27,5,AZSD20240312D,AZS
home,29,4,6,3,2,12,31,0.207,0.258,0.379,0.637,136,85,,,,,,27,10,DETPHI20240313D,PHI
away,29,1,5,1,3,10,33,0.172,0.273,0.276,0.549,122,82,,,,,,24,6,DETPHI20240313D,DET
home,32,1,5,1,5,11,37,0.156,0.27,0.156,0.426,76,54,,,,,,27,4,TBATL20240314D,TL2
away,34,3,6,3,1,16,36,0.176,0.222,0.265,0.487,71,66,,,,,,27,5,TBATL20240314D,TBA
home,32,2,7,2,2,9,36,0.219,0.306,0.344,0.65,139,91,,,,,,27,11,PITNYY20240315N,NYY
away,37,6,10,6,3,9,40,0.27,0.325,0.541,0.866,170,111,,,,,,27,11,PITNYY20240315N,PIT
home,30,5,7,5,2,6,33,0.233,0.303,0.467,0.77,131,79,,,,,,27,14,TEXMIL20240316D,MIL
away,30,1,5,1,0,9,30,0.167,0.167,0.3,0.467,128,87,,,,,,24,10,TEXMIL20240316D,TEX
home,36,5,9,5,1,9,38,0.25,0.289,0.417,0.706,144,93,,,,,,27,8,TORPHI20240317D,PHI
away,36,5,10,4,1,9,37,0.278,0.297,0.528,0.825,133,94,,,,,,27,9,TORPHI20240317D,TOR
home,32,5,9,4,3,9,35,0.281,0.343,0.469,0.812,148,105,,,,,,27,7,BOSMIN20240318D,MIN
away,33,2,7,2,2,10,35,0.212,0.257,0.394,0.651,136,95,,,,,,24,9,BOSMIN20240318D,BOS
home,34,3,9,3,1,10,35,0.265,0.286,0.294,0.58,58,54,,,,,,27,12,MIAHOU20240319N,HOU
away,33,3,6,3,4,10,37,0.182,0.27,0.303,0.573,72,53,,,,,,27,10,MIAHOU20240319N,MIA
home,33,2,7,1,4,12,37,0.212,0.297,0.303,0.6,73,57,,,,,,27,7,SFLAA20240320D,AA2
away,35,5,10,5,2,12,40,0.286,0.35,0.457,0.807,73,60,,,,,,27,9,SFLAA20240320D,SFL
home,34,9,9,8,6,7,42,0.265,0.366,0.471,0.837,83,50,,,,,,27,12,MINWSH20240321D,WSH
away,39,8,13,7,2,10,42,0.333,0.381,0.385,0.766,70,59,,,,,,26,5,MINWSH20240321D,MIN
home,33,3,7,2,2,9,35,0.212,0.257,0.303,0.56,126,85,,,,,,28,11,SFCHC20240322D,HC2
away,35,7,10,7,10,8,47,0.286,0.468,0.4,0.868,184,97,,,,,,27,8,SFCHC20240322D,SFC
home,36,11,13,10,6,11,44,0.361,0.455,0.611,1.066,90,61,,,,,,27,13,LAAOAK20240323D,OAK
away,35,5,9,5,2,7,37,0.257,0.297,0.486,0.783,60,50,,,,,,24,8,LAAOAK20240323D,LAA
home,32,5,7,5,4,7,36,0.219,0.306,0.313,0.619,165,106,,,,,,27,9,NYMMIA20240324D,MIA
