away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
MIL,OAK,2024-03-09,02:05,N,Las Vegas Ballpark,outdoor,1,1,7,6,5,4,MILOAK20240309N
NYY,TOR,2024-03-08,18:07,D,TD Ballpark,outdoor,1,0,5,3,1,2,NYYTOR20240308D
SF,SD,2024-03-09,01:40,N,Peoria Sports Complex,outdoor,0,0,0,0,0,0,SFSD20240309N
TEX,LAD,2024-03-09,20:05,D,Camelback Ranch,outdoor,1,1,3,13,1,7,TEXLAD20240309D
CIN,AZ,2024-03-09,20:10,D,Salt River Fields at Talking Stick,outdoor,0,1,12,11,7,5,CINAZ20240309D
BOS,TB,2024-03-09,22:05,N,Estadio Quisqueya Juan Marichal,outdoor,0,1,10,4,4,0,BOSTB20240309N
BAL,ATL,2024-03-09,18:05,D,CoolToday Park,outdoor,1,0,12,7,10,3,BALATL20240309D
CWS,SD,2024-03-09,20:10,D,Peoria Sports Complex,outdoor,0,0,11,6,1,1,CWSSD20240309D
NYM,STL,2024-03-09,18:05,D,Roger Dean Stadium,outdoor,0,2,15,6,9,3,NYMSTL20240309D
OAK,SF,2024-03-09,20:05,D,Scottsdale Stadium,outdoor,1,0,4,7,1,5,OAKSF20240309D
LAA,CLE,2024-03-09,20:05,D,Goodyear Ballpark,outdoor,3,2,9,9,5,4,LAACLE20240309D
PIT,DET,2024-03-09,18:05,D,Publix Field at Joker Marchant Stadium,outdoor,0,2,7,10,5,8,PITDET20240309D
AZ,KC,2024-03-09,20:05,D,Surprise Stadium,outdoor,1,0,6,14,5,6,AZKC20240309D
SEA,MIL,2024-03-09,20:10,D,American Family Fields of Phoenix,outdoor,0,1,11,9,7,5,SEAMIL20240309D
NYY,MIN,2024-03-09,18:05,D,CenturyLink Sports Complex,outdoor,2,1,6,19,7,10,NYYMIN20240309D
WSH,HOU,2024-03-09,17:05,D,CACTI Park of the Palm Beaches,outdoor,3,1,9,15,4,9,WSHHOU20240309D
COL,CHC,2024-03-09,20:05,D,Sloan Park,outdoor,0,0,3,7,0,5,COLCHC20240309D
TOR,PHI,2024-03-09,18:05,D,BayCare Ballpark,outdoor,0,0,18,9,13,5,TORPHI20240309D
MIA,WSH,2024-03-09,23:05,N,CACTI Park of the Palm Beaches,outdoor,1,0,8,9,4,1,MIAWSH20240309N
MIL,OAK,2024-03-09,21:05,D,Las Vegas Ballpark,outdoor,1,1,5,10,2,4,MILOAK20240309D
BAL,TOR,2024-03-10,17:07,D,TD Ballpark,outdoor,0,0,14,9,11,6,BALTOR20240310D
DET,NYM,2024-03-10,17:10,D,Clover Park,outdoor,0,2,7,5,3,2,DETNYM20240310D
ATL,NYY,2024-03-10,17:05,D,George M. Steinbrenner Field,outdoor,0,0,11,17,8,9,ATLNYY20240310D
PHI,PIT,2024-03-10,17:05,D,LECOM Park,outdoor,0,2,11,10,9,7,PHIPIT20240310D
SD,LAA,2024-03-10,20:10,D,Tempe Diablo Stadium,outdoor,1,0,4,10,4,5,SDLAA20240310D
WSH,MIN,2024-03-10,17:05,D,CenturyLink Sports Complex,outdoor,1,1,12,6,7,3,WSHMIN20240310D
STL,MIA,2024-03-10,17:10,D,Roger Dean Stadium,outdoor,1,1,15,12,12,8,STLMIA20240310D
KC,OAK,2024-03-10,20:05,D,Hohokam Stadium,outdoor,0,0,10,9,3,6,KCOAK20240310D
CWS,SF,2024-03-10,20:05,D,Scottsdale Stadium,outdoor,1,0,9,8,4,5,CWSSF20240310D
SF,SEA,2024-03-10,20:10,D,Peoria Sports Complex,outdoor,1,1,7,10,3,8,SFSEA20240310D
CHC,TEX,2024-03-10,20:05,D,Surprise Stadium,outdoor,1,0,14,7,5,1,CHCTEX20240310D
TOR,BAL,2024-03-10,17:05,D,Ed Smith Stadium,outdoor,1,0,11,7,6,6,TORBAL20240310D
AZ,LAD,2024-03-10,20:05,D,Camelback Ranch,outdoor,0,1,5,14,1,12,AZLAD20240310D
TB,BOS,2024-03-10,17:05,D,Estadio Quisqueya Juan Marichal,outdoor,0,2,12,6,6,7,TBBOS20240310D
MIL,COL,2024-03-10,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,4,7,1,3,MILCOL20240310D
CLE,CIN,2024-03-10,20:05,D,Goodyear Ballpark,outdoor,0,1,10,4,3,5,CLECIN20240310D
MIA,HOU,2024-03-10,17:05,D,CACTI Park of the Palm Beaches,outdoor,0,1,5,6,3,0,MIAHOU20240310D
OAK,AZ,2024-03-11,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,11,5,6,5,OAKAZ20240311D
TOR,TB,2024-03-11,17:05,D,Charlotte Sports Park,outdoor,0,5,11,7,9,2,TORTB20240311D
SD,SEA,2024-03-11,20:10,D,Peoria Sports Complex,outdoor,0,2,17,8,13,3,SDSEA20240311D
TEX,LAA,2024-03-11,20:10,D,Tempe Diablo Stadium,outdoor,3,2,17,9,15,5,TEXLAA20240311D
SF,KC,2024-03-11,20:05,D,Surprise Stadium,outdoor,3,0,15,12,12,9,SFKC20240311D
BAL,NYY,2024-03-11,17:05,D,George M. Steinbrenner Field,outdoor,1,1,10,10,3,5,BALNYY20240311D
DET,HOU,2024-03-11,17:05,D,CACTI Park of the Palm Beaches,outdoor,0,0,10,6,5,3,DETHOU20240311D
LAD,CLE,2024-03-11,20:05,D,Goodyear Ballpark,outdoor,2,1,5,10,1,5,LADCLE20240311D
MIN,ATL,2024-03-11,17:05,D,CoolToday Park,outdoor,2,1,3,11,0,3,MINATL20240311D
MIA,NYM,2024-03-11,22:10,N,Clover Park,outdoor,1,0,5,5,1,0,MIANYM20240311N
PIT,BOS,2024-03-11,17:05,D,JetBlue Park,outdoor,0,2,5,5,0,1,PITBOS20240311D
COL,CWS,2024-03-11,20:05,D,Camelback Ranch,outdoor,0,0,12,6,7,2,COLCWS20240311D
WSH,STL,2024-03-11,17:05,D,Roger Dean Stadium,outdoor,0,0,17,11,11,4,WSHSTL20240311D
NYY,PHI,2024-03-11,17:05,D,BayCare Ballpark,outdoor,0,1,4,5,2,1,NYYPHI20240311D
AZ,SD,2024-03-12,20:10,D,Peoria Sports Complex,outdoor,1,0,4,8,2,2,AZSD20240312D
CWS,CIN,2024-03-13,01:05,N,Goodyear Ballpark,outdoor,1,1,16,3,14,1,CWSCIN20240313N
CLE,TEX,2024-03-12,20:05,D,Surprise Stadium,outdoor,0,0,8,5,3,0,CLETEX20240312D
STL,BOS,2024-03-12,17:05,D,JetBlue Park,outdoor,0,1,12,12,8,6,STLBOS20240312D
KC,COL,2024-03-12,20:10,D,Salt River Fields at Talking Stick,outdoor,1,0,9,9,2,4,KCCOL20240312D
